ROBOTYPE,COMCODE,OPERATOR
Robotaxi,10028149,Uber
Robotaxi,7461206,滴滴全球
Robotaxi,37524352,如祺出行
Robotaxi,96685391,曹操出行
Robotaxi,10034508,小马智行
Robotaxi,9372067,文远知行
Robotaxi,1158390,百度萝卜快跑
Robotaxi,,Waymo
Robotaxi,9958481,Cruise
Robotaxi,1776435,Tesla
Robovan,7924775,白犀牛
Robovan,6604405,新石器
Robovan,86376387,九识智能
Robovan,,Nuro
Robovan,,Gatik
Robotruck,10034508,小马智行
Robotruck,7959511,嬴彻科技
Robotruck,,Deepway
Robotruck,10015680,Aurora
Robotruck,10183512,Kodiak Robotics
Robotruck,,Plus.ai
Robotruck,,Torc Robotics
Robobus,9372067,文远知行
Robobus,7941816,轻舟智航
Robobus,,May Mobility
